node1,node2
LTHSC.34-.BM,LTHSC.34+.BM
LTHSC.34+.BM,STHSC.150-.BM
STHSC.150-.BM,MPP3.48+.BM
STHSC.150-.BM,MPP4.135+.BM
MPP3.48+.BM,DC.103+11b-.SI
MPP3.48+.BM,DC.103+11b+.SI
MPP3.48+.BM,DC.4+.Sp
MPP3.48+.BM,DC.8+.Sp
MPP3.48+.BM,DC.pDC.Sp
MPP3.48+.BM,GN.BM
MPP3.48+.BM,Mo.6C-II-.Bl
MPP3.48+.BM,Mo.6C+II-.Bl
GN.BM,GN.Sp
GN.BM,GN.Thio.PC
Mo.6C+II-.Bl,MF.226+II+480lo.PC
Mo.6C+II-.Bl,MF.LP.SI
MPP4.135+.BM,ILC2.SI
MPP4.135+.BM,ILC3.CCR6+.SI
MPP4.135+.BM,ILC3.NKp46-CCR6-.SI
MPP4.135+.BM,ILC3.NKp46+.SI
MPP4.135+.BM,NK.27+11b-.BM
MPP4.135+.BM,NK.27+11b-.Sp
MPP4.135+.BM,preT.DN1.Th
MPP4.135+.BM,proB.CLP.BM
NK.27+11b-.BM,NK.27+11b+.BM
NK.27+11b+.BM,NK.27-11b+.BM
NK.27+11b-.Sp,NK.27+11b+.Sp
NK.27+11b+.Sp,NK.27-11b+.Sp
preT.DN1.Th,preT.DN2a.Th
preT.DN2a.Th,preT.DN2b.Th
preT.DN2b.Th,preT.DN3.Th
preT.DN3.Th,T.DN4.Th
T.DN4.Th,T.ISP.Th
T.DN4.Th,Tgd.g1.1+d1.24a+.Th
T.DN4.Th,Tgd.g2+d1.24a+.Th
T.DN4.Th,Tgd.g2+d17.24a+.Th
T.DN4.Th,Tgd.Sp
Tgd.g1.1+d1.24a+.Th,Tgd.g1.1+d1.LN
Tgd.g2+d1.24a+.Th,Tgd.g2+d1.LN
Tgd.g2+d17.24a+.Th,Tgd.g2+d17.LN
T.ISP.Th,T.DP.Th
T.DP.Th,T.8.Th
T.DP.Th,T.4.Th
T.4.Th,NKT.Sp
T.4.Th,T.4.Nve.Sp
T.4.Th,Treg.4.25hi.Sp
NKT.Sp,NKT.Sp.LPS.3hr
NKT.Sp.LPS.3hr,NKT.Sp.LPS.18hr
NKT.Sp.LPS.18hr,NKT.Sp.LPS.3d
T.4.Nve.Sp,T.4.Sp.aCD3+CD40.18hr
T.4.Nve.Sp,Treg.4.FP3+.Nrplo.Co
T.4.Nve.Sp,T.4.Nve.Fem.Sp
T.8.Th,T.8.Nve.Sp
T.8.Nve.Sp,T8.IEL.LCMV.d7.SI
T.8.Nve.Sp,T8.MP.LCMV.d7.Sp
T.8.Nve.Sp,T8.Tcm.LCMV.d180.Sp
T.8.Nve.Sp,T8.TN.P14.Sp
T8.MP.LCMV.d7.Sp,T8.TE.LCMV.d7.Sp
T8.MP.LCMV.d7.Sp,T8.Tem.LCMV.d180.Sp
proB.CLP.BM,proB.FrA.BM
proB.FrA.BM,proB.FrBC.BM
proB.FrBC.BM,preB.FrD.BM
preB.FrD.BM,B.FrE.BM
B.FrE.BM,B.Fem.Sp
B.FrE.BM,B.Sp
B.FrE.BM,B.T1.Sp
B.FrE.BM,B1b.PC
B.T1.Sp,B.T2.Sp
B.T2.Sp,B.MZ.Sp
B.T2.Sp,B.T3.Sp
B.T3.Sp,B.Fo.Sp
B.Fo.Sp,B.GC.CB.Sp
B.GC.CB.Sp,B.GC.CC.Sp
B.GC.CC.Sp,B.PB.Sp
B.GC.CC.Sp,B.mem.Sp
B.PB.Sp,B.PC.Sp
B.PC.Sp,B.PC.BM
